"seqword_main_id","genus","species","strain","description","lineage","lineage","lineage","sequence","sequence_length","locus_length","left_border","fk_accessions_id"
44,"Anaeromyxobacter","dehalogenans","2CP-C","Anaeromyxobacter dehalogenans 2CP-C chromosome I, NC_007760","Deltaproteobacteria","Deltaproteobacteria",1,5013479,5013479,0,44,
1579,"Desulfovibrio","desulfuricans","subsp. desulfuricans ATCC 27774","Desulfovibrio desulfuricans subsp. desulfuricans ATCC 27774 chromosome I, NC_011883","Deltaproteobacteria","Deltaproteobacteria",1,2873437,2873437,0,1594,
2512,"Nautilia","profundicola","AmH","Nautilia profundicola AmH chromosome I, NC_012115","Epsilonproteobacteria","Epsilonproteobacteria",1,1676444,1676444,0,2527,
1514,"Helicobacter","pylori","G27","Helicobacter pylori G27 chromosome I, NC_011333","Epsilonproteobacteria","Epsilonproteobacteria",1,1652982,1652982,0,1529,
416,"Helicobacter","acinonychis","Sheeba","Helicobacter acinonychis Sheeba chromosome I, NC_008229","Epsilonproteobacteria","Epsilonproteobacteria",1,1553927,1553927,0,416,
417,"Helicobacter","hepaticus","ATCC5144","Helicobacter hepaticus ATCC5144 chromosome I, NC_004917","Epsilonproteobacteria","Epsilonproteobacteria",1,1799146,1799146,0,417,
216,"Campylobacter","curvus",525.92,"Campylobacter curvus 525.92 chromosome I, NC_009715","Epsilonproteobacteria","Epsilonproteobacteria",1,1971264,1971264,0,216,
418,"Helicobacter","pylori",26695,"Helicobacter pylori 26695 chromosome I, NC_000915","Epsilonproteobacteria","Epsilonproteobacteria",1,1667867,1667867,0,418,
2504,"Campylobacter","lari","RM2100","Campylobacter lari RM2100 chromosome I, NC_012039","Epsilonproteobacteria","Epsilonproteobacteria",1,1525460,1525460,0,2519,
219,"Campylobacter","jejuni","NCTC11168","Campylobacter jejuni NCTC11168 chromosome I, NC_002163","Epsilonproteobacteria","Epsilonproteobacteria",1,1641481,1641481,0,219,
421,"Helicobacter","pylori","J99","Helicobacter pylori J99 chromosome I, NC_000921","Epsilonproteobacteria","Epsilonproteobacteria",1,1643831,1643831,0,421,
946,"Sulfurovum","sp.","NBC37-1","Sulfurovum sp. NBC37-1 chromosome I, NC_009663","Epsilonproteobacteria","Epsilonproteobacteria",1,2562277,2562277,0,946,
222,"Campylobacter","jejuni","subsp. jejuni 81-176","Campylobacter jejuni subsp. jejuni 81-176 chromosome I, NC_008787","Epsilonproteobacteria","Epsilonproteobacteria",1,1616554,1616554,0,222,
221,"Campylobacter","jejuni","subsp. doylei 269.97","Campylobacter jejuni subsp. doylei 269.97 chromosome I, NC_009707","Epsilonproteobacteria","Epsilonproteobacteria",1,1845106,1845106,0,221,
606,"Nitratiruptor","sp.","SB155-2","Nitratiruptor sp. SB155-2 chromosome I, NC_009662","Epsilonproteobacteria","Epsilonproteobacteria",1,1877931,1877931,0,606,
419,"Helicobacter","pylori","HPAG1","Helicobacter pylori HPAG1 chromosome I, NC_008086","Epsilonproteobacteria","Epsilonproteobacteria",1,1596366,1596366,0,419,
1430,"Campylobacter","jejuni","subsp. jejuni 81116","Campylobacter jejuni subsp. jejuni 81116 chromosome I, NC_009839","Epsilonproteobacteria","Epsilonproteobacteria",1,212197,212197,0,1445,
1391,"Helicobacter","pylori","Shi470","Helicobacter pylori Shi470 chromosome I, NC_010698","Epsilonproteobacteria","Epsilonproteobacteria",1,1608547,1608547,0,1406,
218,"Campylobacter","hominis","ATCC BAA-381","Campylobacter hominis ATCC BAA-381 chromosome I, NC_009714","Epsilonproteobacteria","Epsilonproteobacteria",1,1711273,1711273,0,218,
1017,"Wolinella","succinogenes","DSM1740","Wolinella succinogenes DSM1740 chromosome I, NC_005090","Epsilonproteobacteria","Epsilonproteobacteria",1,2110355,2110355,0,1017,
986,"Sulfurimonas","denitrificans","DSM1251","Sulfurimonas denitrificans DSM1251 chromosome I, NC_007575","Epsilonproteobacteria","Epsilonproteobacteria",1,2201561,2201561,0,986,
51,"Arcobacter","butzleri","RM4018","Arcobacter butzleri RM4018 chromosome I, NC_009850","Epsilonproteobacteria","Epsilonproteobacteria",1,2341251,2341251,0,51,
220,"Campylobacter","jejuni","RM1221","Campylobacter jejuni RM1221 chromosome I, NC_003912","Epsilonproteobacteria","Epsilonproteobacteria",1,1777831,1777831,0,220,
1427,"Campylobacter","concisus",13826,"Campylobacter concisus 13826 chromosome I, NC_009802","Epsilonproteobacteria","Epsilonproteobacteria",1,2052007,2052007,0,1442,
217,"Campylobacter","fetus","subsp. fetus 82-40","Campylobacter fetus subsp. fetus 82-40 chromosome I, NC_008599","Epsilonproteobacteria","Epsilonproteobacteria",1,1773615,1773615,0,217,
1534,"Helicobacter","pylori","P12","Helicobacter pylori P12 chromosome I, NC_011498","Epsilonproteobacteria","Epsilonproteobacteria",1,1673813,1673813,0,1549,
515,"Methanococcus","maripaludis","C5","Methanococcus maripaludis C5 chromosome I, NC_009135","Euryarchaeota","Euryarchaeota",1,1780761,1780761,0,515,
529,"Methanosphaera","stadtmanae","DSM 3091","Methanosphaera stadtmanae DSM 3091 chromosome I, NC_007681","Euryarchaeota","Euryarchaeota",1,1767403,1767403,0,529,
521,"Methanoculleus","marisnigri","JR1","Methanoculleus marisnigri JR1 chromosome I, NC_009051","Euryarchaeota","Euryarchaeota",1,2478101,2478101,0,521,
519,"Methanococcus","vannielii","SB","Methanococcus vannielii SB chromosome I, NC_009634","Euryarchaeota","Euryarchaeota",1,1720048,1720048,0,519,
517,"Methanococcus","maripaludis","C7","Methanococcus maripaludis C7 chromosome I, NC_009637","Euryarchaeota","Euryarchaeota",1,1772694,1772694,0,517,
665,"Picrophilus","torridus","DSM9790","Picrophilus torridus DSM9790 chromosome I, NC_005877","Euryarchaeota","Euryarchaeota",1,1545895,1545895,0,665,
530,"Methanospirillum","hungatei","JF-1","Methanospirillum hungatei JF-1 chromosome I, NC_007796","Euryarchaeota","Euryarchaeota",1,3544738,3544738,0,530,
525,"Methanosarcina","acetivorans","C2A","Methanosarcina acetivorans C2A chromosome I, NC_003552","Euryarchaeota","Euryarchaeota",1,5751492,5751492,0,525,
524,"Methanosaeta","thermophila","PT (Methanothrix_thermophila_PT)","Methanosaeta thermophila PT (Methanothrix_thermophila_PT) chromosome I, NC_008553","Euryarchaeota","Euryarchaeota",1,1879471,1879471,0,524,
523,"Methanoregula","boonei","6A8","Methanoregula boonei 6A8 chromosome I, NC_009712","Euryarchaeota","Euryarchaeota",1,2542943,2542943,0,523,
514,"Methanococcus","aeolicus","Nankai-3","Methanococcus aeolicus Nankai-3 chromosome I, NC_009635","Euryarchaeota","Euryarchaeota",1,1569500,1569500,0,514,
1536,"Thermococcus","onnurineus","NA1","Thermococcus onnurineus NA1 chromosome I, NC_011529","Euryarchaeota","Euryarchaeota",1,1847607,1847607,0,1551,
734,"Pyrococcus","horikoshii","OT3","Pyrococcus horikoshii OT3 chromosome I, NC_000961","Euryarchaeota","Euryarchaeota",1,1738505,1738505,0,734,
972,"Thermoplasma","volcanium","GSS1","Thermoplasma volcanium GSS1 chromosome I, NC_002689","Euryarchaeota","Euryarchaeota",1,1584804,1584804,0,972,
513,"Methanococcoides","burtonii","DSM 6242","Methanococcoides burtonii DSM 6242 chromosome I, NC_007955","Euryarchaeota","Euryarchaeota",1,2575032,2575032,0,513,
509,"Methanobrevibacter","smithii","ATCC 35061","Methanobrevibacter smithii ATCC 35061 chromosome I, NC_009515","Euryarchaeota","Euryarchaeota",1,1853160,1853160,0,509,
600,"Natronomonas","pharaonis","DSM2160","Natronomonas pharaonis DSM2160 chromosome I, NC_007426","Euryarchaeota","Euryarchaeota",1,2595221,2595221,0,600,
971,"Thermoplasma","acidophilum","DSM1728","Thermoplasma acidophilum DSM1728 chromosome I, NC_002578","Euryarchaeota","Euryarchaeota",1,1564906,1564906,0,971,
512,"Methanocaldococcus","jannaschii","DSM2661","Methanocaldococcus jannaschii DSM2661 chromosome I, NC_000909","Euryarchaeota","Euryarchaeota",1,1664970,1664970,0,512,
1301,"Halobacterium","salinarum","R1","Halobacterium salinarum R1 chromosome I, NC_010364","Euryarchaeota","Euryarchaeota",1,1269543,1269543,0,1323,
409,"Halobacterium","sp","NRC-1","Halobacterium sp NRC-1 chromosome I, NC_002607","Euryarchaeota","Euryarchaeota",1,2014239,2014239,0,409,
518,"Methanococcus","maripaludis","S2","Methanococcus maripaludis S2 chromosome I, NC_005791","Euryarchaeota","Euryarchaeota",1,1661137,1661137,0,518,
412,"Haloquadratum","walsbyi","DSM 16790","Haloquadratum walsbyi DSM 16790 chromosome I, NC_008212","Euryarchaeota","Euryarchaeota",1,3132494,3132494,0,412,
1566,"Methanosphaerula","palustris","E1-9c","Methanosphaerula palustris E1-9c chromosome I, NC_011832","Euryarchaeota","Euryarchaeota",1,2922917,2922917,0,1581,
1473,"Methanosarcina","mazei","Go1","Methanosarcina mazei Go1 chromosome I, NC_003901","Euryarchaeota","Euryarchaeota",1,4096345,4096345,0,1488,
732,"Pyrococcus","abyssi","GE5","Pyrococcus abyssi GE5 chromosome I, NC_000868","Euryarchaeota","Euryarchaeota",1,1765118,1765118,0,732,
50,"Archaeoglobus","fulgidus","DSM4304","Archaeoglobus fulgidus DSM4304 chromosome I, NC_000917","Euryarchaeota","Euryarchaeota",1,2178400,2178400,0,50,
1188,"Methanococcus","maripaludis","C6","Methanococcus maripaludis C6 chromosome I, NC_009975","Euryarchaeota","Euryarchaeota",1,1744193,1744193,0,1220,
733,"Pyrococcus","furiosus","DSM3638","Pyrococcus furiosus DSM3638 chromosome I, NC_003413","Euryarchaeota","Euryarchaeota",1,1908256,1908256,0,733,
400,"Haloarcula","marismortui","ATCC 43049","Haloarcula marismortui ATCC 43049 chromosome I, NC_006396","Euryarchaeota","Euryarchaeota",1,3131724,3131724,0,400,
520,"Methanocorpusculum","labreanum","Z","Methanocorpusculum labreanum Z chromosome I, NC_008942","Euryarchaeota","Euryarchaeota",1,1804962,1804962,0,520,
526,"Methanosarcina","barkeri","Fusaro","Methanosarcina barkeri Fusaro chromosome I, NC_007355","Euryarchaeota","Euryarchaeota",1,4837408,4837408,0,526,
968,"Thermococcus","kodakarensis","KOD1","Thermococcus kodakarensis KOD1 chromosome I, NC_006624","Euryarchaeota","Euryarchaeota",1,2088737,2088737,0,968,
2508,"Halorubrum","lacusprofundi","ATCC 49239","Halorubrum lacusprofundi ATCC 49239 chromosome I, NC_012029","Euryarchaeota","Euryarchaeota",1,2735295,2735295,0,2523,
531,"Methanothermobacter","thermautotrophicus","Delta H","Methanothermobacter thermautotrophicus Delta H chromosome I, NC_000916","Euryarchaeota","Euryarchaeota",1,1751377,1751377,0,531,
522,"Methanopyrus","kandleri","AV19","Methanopyrus kandleri AV19 chromosome I, NC_003551","Euryarchaeota","Euryarchaeota",1,1694969,1694969,0,522,
2509,"Halorubrum","lacusprofundi","ATCC 49239","Halorubrum lacusprofundi ATCC 49239 chromosome II, NC_012028","Euryarchaeota","Euryarchaeota",1,525943,525943,0,2524,
591,"Mycoplasma","penetrans","HF-2","Mycoplasma penetrans HF-2 chromosome I, NC_004432","Firmicutes","Firmicutes",1,1358633,1358633,0,591,
257,"Clostridium","botulinum","A ATCC19397","Clostridium botulinum A ATCC19397 chromosome I, NC_009697","Firmicutes","Firmicutes",1,3863450,3863450,0,257,
923,"Streptococcus","pyogenes","MGAS10750","Streptococcus pyogenes MGAS10750 chromosome I, NC_008024","Firmicutes","Firmicutes",1,1937111,1937111,0,923,
966,"Thermoanaerobacter","tengcongensis","MB4T","Thermoanaerobacter tengcongensis MB4T chromosome I, NC_003869","Firmicutes","Firmicutes",1,2689445,2689445,0,966,
592,"Mycoplasma","pneumoniae","M129","Mycoplasma pneumoniae M129 chromosome I, NC_000912","Firmicutes","Firmicutes",1,816394,816394,0,592,
256,"Clostridium","beijerinckii","NCIMB8052","Clostridium beijerinckii NCIMB8052 chromosome I, NC_009617","Firmicutes","Firmicutes",1,6000632,6000632,0,256,
83,"Bacillus","licheniformis","ATCC14580 (DSM13)","Bacillus licheniformis ATCC14580 (DSM13) chromosome I, NC_006322","Firmicutes","Firmicutes",1,4222645,4222645,0,83,
226,"Carboxydothermus","hydrogenoformans","Z-2901","Carboxydothermus hydrogenoformans Z-2901 chromosome I, NC_007503","Firmicutes","Firmicutes",1,2401520,2401520,0,226,
335,"Enterococcus","faecalis","V583","Enterococcus faecalis V583 chromosome I, NC_004668","Firmicutes","Firmicutes",1,3218031,3218031,0,335,
82,"Bacillus","halodurans","C-125","Bacillus halodurans C-125 chromosome I, NC_002570","Firmicutes","Firmicutes",1,4202353,4202353,0,82,
881,"Staphylococcus","aureus","MRSA252","Staphylococcus aureus MRSA252 chromosome I, NC_002952","Firmicutes","Firmicutes",1,2902619,2902619,0,881,
84,"Bacillus","licheniformis","ATCC14580","Bacillus licheniformis ATCC14580 chromosome I, NC_006270","Firmicutes","Firmicutes",1,4222336,4222336,0,84,
254,"Clostridium","acetobutylicum","ATCC824","Clostridium acetobutylicum ATCC824 chromosome I, NC_003030","Firmicutes","Firmicutes",1,3940880,3940880,0,254,
271,"Clostridium","perfringens","ATCC 13124","Clostridium perfringens ATCC 13124 chromosome I, NC_008261","Firmicutes","Firmicutes",1,3256683,3256683,0,271,
657,"Pelotomaculum","thermopropionicum","SI","Pelotomaculum thermopropionicum SI chromosome I, NC_009454","Firmicutes","Firmicutes",1,3025375,3025375,0,657,
1459,"Staphylococcus","aureus","subsp. aureus Mu3","Staphylococcus aureus subsp. aureus Mu3 chromosome I, NC_009782","Firmicutes","Firmicutes",1,2880168,2880168,0,1474,
1491,"Natranaerobius","thermophilus","JW-NM-WN-LF","Natranaerobius thermophilus JW-NM-WN-LF chromosome I, NC_010718","Firmicutes","Firmicutes",1,3165557,3165557,0,1506,
277,"Clostridium","tetani","E88","Clostridium tetani E88 chromosome I, NC_004557","Firmicutes","Firmicutes",1,2044514,2044514,0,277,
888,"Staphylococcus","aureus","subsp. aureus JH1","Staphylococcus aureus subsp. aureus JH1 chromosome I, NC_009632","Firmicutes","Firmicutes",1,2906507,2906507,0,888,
78,"Bacillus","cereus","E33L-ZK","Bacillus cereus E33L-ZK chromosome I, NC_006274","Firmicutes","Firmicutes",1,5300915,5300915,0,78,
272,"Clostridium","perfringens","SM101","Clostridium perfringens SM101 chromosome I, NC_008262","Firmicutes","Firmicutes",1,2897393,2897393,0,272,
1461,"Streptococcus","gordonii","Challis subCH1","Streptococcus gordonii Challis subCH1 chromosome I, NC_009785","Firmicutes","Firmicutes",1,2196662,2196662,0,1476,
2537,"Clostridium","botulinum","A2 Kyoto","Clostridium botulinum A2 Kyoto chromosome I, NC_012563","Firmicutes","Firmicutes",1,4155278,4155278,0,2552,
1266,"Desulforudis","audaxviator","MP104C","Desulforudis audaxviator MP104C chromosome, I$NC_010424.txt","Firmicutes","Firmicutes",1,2349476,2349476,0,1294,
1460,"Staphylococcus","aureus","subsp. aureus MW2","Staphylococcus aureus subsp. aureus MW2 chromosome I, NC_003923","Firmicutes","Firmicutes",1,2820462,2820462,0,1475,
72,"Bacillus","cereus","ATCC10987","Bacillus cereus ATCC10987 chromosome I, NC_003909","Firmicutes","Firmicutes",1,5224283,5224283,0,72,
641,"Oenococcus","oeni","PSU-1","Oenococcus oeni PSU-1 chromosome I, NC_008528","Firmicutes","Firmicutes",1,1780517,1780517,0,641,
585,"Mycoplasma","genitalium","G37","Mycoplasma genitalium G37 chromosome I, NC_000908","Firmicutes","Firmicutes",1,580076,580076,0,585,
584,"Mycoplasma","gallisepticum","R","Mycoplasma gallisepticum R chromosome I, NC_004829","Firmicutes","Firmicutes",1,996422,996422,0,584,
268,"Clostridium","novyi","NT","Clostridium novyi NT chromosome I, NC_008593","Firmicutes","Firmicutes",1,2547720,2547720,0,268,
589,"Mycoplasma","mobile","163K","Mycoplasma mobile 163K chromosome I, NC_006908","Firmicutes","Firmicutes",1,777079,777079,0,589,
588,"Mycoplasma","hyopneumoniae","J","Mycoplasma hyopneumoniae J chromosome I, NC_007295","Firmicutes","Firmicutes",1,897405,897405,0,588,
587,"Mycoplasma","hyopneumoniae",7448,"Mycoplasma hyopneumoniae 7448 chromosome I, NC_007332","Firmicutes","Firmicutes",1,920079,920079,0,587,
935,"Streptococcus","thermophilus","LMD-9","Streptococcus thermophilus LMD-9 chromosome I, NC_008532","Firmicutes","Firmicutes",1,1856368,1856368,0,935,
79,"Bacillus","cereus","subsp. cytotoxis NVH 391-98","Bacillus cereus subsp. cytotoxis NVH 391-98 chromosome I, NC_009674","Firmicutes","Firmicutes",1,4087024,4087024,0,79,
260,"Clostridium","botulinum","A Hall","Clostridium botulinum A Hall chromosome I, NC_009698","Firmicutes","Firmicutes",1,3760560,3760560,0,260,
69,"Bacillus","anthracis","Sterne","Bacillus anthracis Sterne chromosome I, NC_005945","Firmicutes","Firmicutes",1,5228663,5228663,0,69,
266,"Clostridium","kluyveri","DSM 555","Clostridium kluyveri DSM 555 chromosome I, NC_009706","Firmicutes","Firmicutes",1,3964618,3964618,0,266,
917,"Streptococcus","pneumoniae","R6","Streptococcus pneumoniae R6 chromosome I, NC_003098","Firmicutes","Firmicutes",1,2038615,2038615,0,917,
920,"Streptococcus","pyogenes","Manfredo","Streptococcus pyogenes Manfredo chromosome I, NC_009332","Firmicutes","Firmicutes",1,1841271,1841271,0,920,
1235,"Thermoanaerobacter","sp.","X514","Thermoanaerobacter sp. X514 chromosome I, NC_010320","Firmicutes","Firmicutes",1,2457259,2457259,0,1267,
915,"Streptococcus","mutans","UA159","Streptococcus mutans UA159 chromosome I, NC_004350","Firmicutes","Firmicutes",1,2030921,2030921,0,915,
916,"Streptococcus","pneumoniae","D39","Streptococcus pneumoniae D39 chromosome I, NC_008533","Firmicutes","Firmicutes",1,2046115,2046115,0,916,
922,"Streptococcus","pyogenes","MGAS10394","Streptococcus pyogenes MGAS10394 chromosome I, NC_006086","Firmicutes","Firmicutes",1,1899877,1899877,0,922,
1306,"Heliobacterium","modesticaldum","Ice1","Heliobacterium modesticaldum Ice1 chromosome I, NC_010337","Firmicutes","Firmicutes",1,3075407,3075407,0,1328,
924,"Streptococcus","pyogenes","MGAS2096","Streptococcus pyogenes MGAS2096 chromosome I, NC_008023","Firmicutes","Firmicutes",1,1860355,1860355,0,924,
488,"Listeria","monocytogenes","EGD-e","Listeria monocytogenes EGD-e chromosome I, NC_003210","Firmicutes","Firmicutes",1,2944528,2944528,0,488,
921,"Streptococcus","pyogenes","MGAS10270","Streptococcus pyogenes MGAS10270 chromosome I, NC_008022","Firmicutes","Firmicutes",1,1928252,1928252,0,921,
456,"Lactococcus","lactis","IL1403","Lactococcus lactis IL1403 chromosome I, NC_002662","Firmicutes","Firmicutes",1,2365589,2365589,0,456,
896,"Staphylococcus","aureus","subsp. aureus NCTC 8325","Staphylococcus aureus subsp. aureus NCTC 8325 chromosome I, NC_007795","Firmicutes","Firmicutes",1,2821361,2821361,0,896,
897,"Staphylococcus","aureus","subsp. aureus Newman","Staphylococcus aureus subsp. aureus Newman chromosome I, NC_009641","Firmicutes","Firmicutes",1,2878897,2878897,0,897,
88,"Bacillus","subtilis",168,"Bacillus subtilis 168 chromosome I, NC_000964","Firmicutes","Firmicutes",1,4214814,4214814,0,88,
1509,"Coprothermobacter","proteolyticus","DSM 5265","Coprothermobacter proteolyticus DSM 5265 chromosome I, NC_011295","Firmicutes","Firmicutes",1,1424912,1424912,0,1524,
883,"Staphylococcus","aureus","Mu50","Staphylococcus aureus Mu50 chromosome I, NC_002758","Firmicutes","Firmicutes",1,2878040,2878040,0,883,
885,"Staphylococcus","aureus","N315","Staphylococcus aureus N315 chromosome I, NC_002745","Firmicutes","Firmicutes",1,2814816,2814816,0,885,
906,"Staphylococcus","haemolyticus","JCSC1435","Staphylococcus haemolyticus JCSC1435 chromosome I, NC_007168","Firmicutes","Firmicutes",1,2685015,2685015,0,906,
2526,"Streptococcus","pneumoniae","P1031","Streptococcus pneumoniae P1031 chromosome I, NC_012467","Firmicutes","Firmicutes",1,2111882,2111882,0,2541,
594,"Mycoplasma","synoviae",53,"Mycoplasma synoviae 53 chromosome I, NC_007294","Firmicutes","Firmicutes",1,799476,799476,0,594,
927,"Streptococcus","pyogenes","MGAS6180","Streptococcus pyogenes MGAS6180 chromosome I, NC_007296","Firmicutes","Firmicutes",1,1897573,1897573,0,927,
898,"Staphylococcus","aureus","subsp. aureus USA300","Staphylococcus aureus subsp. aureus USA300 chromosome I, NC_007793","Firmicutes","Firmicutes",1,2872769,2872769,0,898,
904,"Staphylococcus","epidermidis","RP62A","Staphylococcus epidermidis RP62A chromosome I, NC_002976","Firmicutes","Firmicutes",1,2616530,2616530,0,904,
964,"Syntrophomonas","wolfei","subsp. wolfei Goettingen","Syntrophomonas wolfei subsp. wolfei Goettingen chromosome I, NC_008346","Firmicutes","Firmicutes",1,2936195,2936195,0,964,
89,"Bacillus","thuringiensis","Al_Hakam","Bacillus thuringiensis Al_Hakam chromosome I, NC_008600","Firmicutes","Firmicutes",1,5257091,5257091,0,89,
1537,"Anoxybacillus","flavithermus","WK1","Anoxybacillus flavithermus WK1 chromosome I, NC_011567","Firmicutes","Firmicutes",1,2846746,2846746,0,1552,
91,"Bacillus","thuringiensis","konkukian-97-27","Bacillus thuringiensis konkukian-97-27 chromosome I, NC_005957","Firmicutes","Firmicutes",1,5237682,5237682,0,91,
1568,"Clostridium","cellulolyticum","H10","Clostridium cellulolyticum H10 chromosome I, NC_011898","Firmicutes","Firmicutes",1,4068724,4068724,0,1583,
1563,"Bacillus","cereus","G9842","Bacillus cereus G9842 chromosome I, NC_011772","Firmicutes","Firmicutes",1,5387334,5387334,0,1578,
903,"Staphylococcus","epidermidis","ATCC12228","Staphylococcus epidermidis ATCC12228 chromosome I, NC_004461","Firmicutes","Firmicutes",1,2499279,2499279,0,903,
1475,"Phytoplasma","australiense","%","Phytoplasma australiense chromosome I, NC_010544","Firmicutes","Firmicutes",1,879959,879959,0,1490,
452,"Lactobacillus","salivarius","subsp. salivarius UCC118","Lactobacillus salivarius subsp. salivarius UCC118 chromosome I, NC_007929","Firmicutes","Firmicutes",1,1827111,1827111,0,452,
1530,"Bacillus","pumilus","SAFR-032","Bacillus pumilus SAFR-032 chromosome I, NC_009848","Firmicutes","Firmicutes",1,3704465,3704465,0,1545,
444,"Lactobacillus","delbrueckii","subsp. bulgaricus ATCC BAA-365","Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 chromosome I, NC_008529","Firmicutes","Firmicutes",1,1856951,1856951,0,444,
886,"Staphylococcus","aureus","RF122","Staphylococcus aureus RF122 chromosome I, NC_007622","Firmicutes","Firmicutes",1,2742531,2742531,0,886,
930,"Streptococcus","pyogenes","SSI-1","Streptococcus pyogenes SSI-1 chromosome I, NC_004606","Firmicutes","Firmicutes",1,1894275,1894275,0,930,
932,"Streptococcus","suis","05ZYH33","Streptococcus suis 05ZYH33 chromosome I, NC_009442","Firmicutes","Firmicutes",1,2096309,2096309,0,932,
933,"Streptococcus","suis","98HAH33","Streptococcus suis 98HAH33 chromosome I, NC_009443","Firmicutes","Firmicutes",1,2095698,2095698,0,933,
925,"Streptococcus","pyogenes","MGAS315","Streptococcus pyogenes MGAS315 chromosome I, NC_004070","Firmicutes","Firmicutes",1,1900521,1900521,0,925,
928,"Streptococcus","pyogenes","MGAS8232","Streptococcus pyogenes MGAS8232 chromosome I, NC_003485","Firmicutes","Firmicutes",1,1895017,1895017,0,928,
929,"Streptococcus","pyogenes","MGAS9429","Streptococcus pyogenes MGAS9429 chromosome I, NC_008021","Firmicutes","Firmicutes",1,1836467,1836467,0,929,
882,"Staphylococcus","aureus","MSSA476","Staphylococcus aureus MSSA476 chromosome I, NC_002953","Firmicutes","Firmicutes",1,2799802,2799802,0,882,
1584,"Lysinibacillus","sphaericus","C3-41","Lysinibacillus sphaericus C3-41 chromosome I, NC_010382","Firmicutes","Firmicutes",1,4639821,4639821,0,1599,
1583,"Halothermothrix","orenii","H 168","Halothermothrix orenii H 168 chromosome I, NC_011899","Firmicutes","Firmicutes",1,2578146,2578146,0,1598,
634,"Oceanobacillus","iheyensis","HTE831","Oceanobacillus iheyensis HTE831 chromosome I, NC_004193","Firmicutes","Firmicutes",1,3630528,3630528,0,634,
934,"Streptococcus","thermophilus","CNRZ1066","Streptococcus thermophilus CNRZ1066 chromosome I, NC_006449","Firmicutes","Firmicutes",1,1796226,1796226,0,934,
936,"Streptococcus","thermophilus","LMG 18311","Streptococcus thermophilus LMG 18311 chromosome I, NC_006448","Firmicutes","Firmicutes",1,1796846,1796846,0,936,
269,"Clostridium","perfringens",13,"Clostridium perfringens 13 chromosome I, NC_003366","Firmicutes","Firmicutes",1,3031430,3031430,0,269,
583,"Mycoplasma","capricolum","subsp. capricolum ATCC27343","Mycoplasma capricolum subsp. capricolum ATCC27343 chromosome I, NC_007633","Firmicutes","Firmicutes",1,1010023,1010023,0,583,
1308,"Lactobacillus","fermentum","IFO","Lactobacillus fermentum IFO 3956 chromosome, I$NC_010610.txt","Firmicutes","Firmicutes",1,2098685,2098685,0,1330,
992,"Ureaplasma","urealyticum","ATCC700970","Ureaplasma urealyticum ATCC700970 chromosome I, NC_002162","Firmicutes","Firmicutes",1,751719,751719,0,992,
377,"Geobacillus","kaustophilus","HTA426","Geobacillus kaustophilus HTA426 chromosome I, NC_006510","Firmicutes","Firmicutes",1,3544776,3544776,0,377,
1234,"Thermoanaerobacter","pseudethanolicus","ATCC 33223","Thermoanaerobacter pseudethanolicus ATCC 33223 chromosome I, NC_010321","Firmicutes","Firmicutes",1,2362816,2362816,0,1266,
1307,"Lactobacillus","casei","BL23","Lactobacillus casei BL23 chromosome I, NC_010999","Firmicutes","Firmicutes",1,3079196,3079196,0,1329,
1578,"Desulfitobacterium","hafniense","DCB-2","Desulfitobacterium hafniense DCB-2 chromosome I, NC_011830","Firmicutes","Firmicutes",1,5279134,5279134,0,1593,
499,"Mesoplasma","florum","L1","Mesoplasma florum L1 chromosome I, NC_006055","Firmicutes","Firmicutes",1,793224,793224,0,499,
1309,"Lactobacillus","reuteri","F275","Lactobacillus reuteri F275 chromosome I, NC_009513","Firmicutes","Firmicutes",1,1999618,1999618,0,450,
650,"Pediococcus","pentosaceus","ATCC 25745","Pediococcus pentosaceus ATCC 25745 chromosome I, NC_008525","Firmicutes","Firmicutes",1,1832387,1832387,0,650,
212,"Caldicellulosiruptor","saccharolyticus","DSM 8903","Caldicellulosiruptor saccharolyticus DSM 8903 chromosome I, NC_009437","Firmicutes","Firmicutes",1,2970275,2970275,0,212,
1327,"Mycoplasma","arthritidis","158L3-1","Mycoplasma arthritidis 158L3-1 chromosome I, NC_011025","Firmicutes","Firmicutes",1,820453,820453,0,1348,
438,"Lactobacillus","brevis","ATCC 367","Lactobacillus brevis ATCC 367 chromosome I, NC_008497","Firmicutes","Firmicutes",1,2291220,2291220,0,438,
1353,"Streptococcus","pneumoniae","CGSP14","Streptococcus pneumoniae CGSP14 chromosome I, NC_010582","Firmicutes","Firmicutes",1,2209198,2209198,0,1369,
39,"Alkaliphilus","metalliredigens","QYMF","Alkaliphilus metalliredigens QYMF chromosome I, NC_009633","Firmicutes","Firmicutes",1,4929566,4929566,0,39,
926,"Streptococcus","pyogenes","MGAS5005","Streptococcus pyogenes MGAS5005 chromosome I, NC_007297","Firmicutes","Firmicutes",1,1838554,1838554,0,926,
582,"Mycoplasma","agalactiae","PG2","Mycoplasma agalactiae PG2 chromosome I, NC_009497","Firmicutes","Firmicutes",1,877438,877438,0,582,
1528,"Ureaplasma","urealyticum","serovar 10 ATCC 33699","Ureaplasma urealyticum serovar 10 ATCC 33699 chromosome I, NC_011374","Firmicutes","Firmicutes",1,874478,874478,0,1543,
